SMILES,CHANNEL_OUTCOME,assay_type
[Cl-].C[n+]1ccn(CCCCCCCCCCCCCC)c1,antagonist,Liver
O=C2N=NNc1ccccc12,inactive,Liver
O=S(=O)(O)CCS(=O)(=O)O.CCN(CC)CCOC(=O)C1(CCCC1)c2ccccc2.CCN(CCOC(=O)C1(CCCC1)c2ccccc2)CC,agonist,Liver
CN(C)C(=O)COC(=O)C(C)c1cc2Cc3ccc(C)nc3Oc2cc1,antagonist,Liver
O=C(c1ccc(Cl)cc1)c2ccc(OC(C)(C)C(=O)OC(C)C)cc2,agonist,Liver
CN1CCOCC1,inactive,Liver
CCC\C=N/O,inactive,Liver
OCC(=O)[C@@]54OC(C)(C)O[C@@H]5C[C@@H]3[C@]4(C)C[C@H](O)[C@@]2(F)[C@H]3CCC1=CC(=O)C=C[C@@]12C,antagonist,Liver
O=C(O)CCCCCCCCCCCCC,inactive,Liver
Cl.O[C@@H](CNC)c1cc(O)ccc1,inactive,Liver
ClP(=O)(Cl)c1ccccc1,inactive,Liver
Cl.O=C(Oc1cccc(c1)/N=C/N(C)C)NC,inactive,Liver
Brc1cc(/C=C/C(=O)NCC)ccc1,inactive,Liver
OCCCc1ccccc1,inactive,Liver
CC(C)(C)C1=CC(=O)C=C(C1=O)C(C)(C)C,inactive,Liver
Clc2cc(cc(Cl)c2/N=N/c1ccc(cc1)N(CC)CCC#N)[N+]([O-])=O,antagonist,Liver
c5ccc6c1cc2cccc3ccc4ccc(c1c4c23)c6c5,agonist,Liver
CCCN(CC1CC1)c2c(cc(cc2[N+]([O-])=O)C(F)(F)F)[N+]([O-])=O,inactive,Liver
Cl.CNCCCN2c3ccccc3CCc1ccccc12,antagonist,Liver
Cc1cc(C)c(O)c(C)c1,inactive,Liver
O=C(C(C)N(C)C)c1ccccc1,inactive,Liver
OCC(COCC(CO)(CO)CO)(CO)CO,antagonist,Liver
O=C(Oc1ccccc1)CCCCCCCCC#CI,antagonist,Liver
[Cl-].C[n+]1ccn(CCO)c1,inactive,Liver
COc1cc(ccc1OC)C=O,inactive,Liver
Oc1cc(O)ccc1CCCCCC,antagonist,Liver
Clc2ncc(CN/1COCN(C)C\1=N\[N+]([O-])=O)s2,inactive,Liver
[Na+].[O-]S(=O)(=O)CC(C)(C)NC(=O)C=C,inactive,Liver
Nc1cc(Cl)ccc1O,inactive,Liver
ICC(N)=O,antagonist,Liver
Nc1ccc(cc1)C(=O)OCC(O)CO,inactive,Liver
CC2(C)[C@H]1CC=C(C)[C@@H]2C1,agonist,Liver
O=C1CCCCCN1CCCCCCCCCCCC,agonist,Liver
[Hg+2].[O-]C(C)=O.[O-]C(C)=O,antagonist,Liver
Cl.COc1cc(C[C@@H](C)N)c(cc1Br)OC,agonist,Liver
CC1(N)CCC(CC1)C(C)(C)N,inactive,Liver
CC(C)NC[C@@H](O)COc2cccc1ccccc12,inactive,Liver
Brc1cc(cc(Br)c1O)C(=O)c2c3ccccc3oc2CC,inactive,Liver
O=S(N)(=O)c1cc(c(O)cc1Cl)C(=O)Nc2c(C)cccc2C,inactive,Liver
C(CCc1ccncc1)c2ccncc2,inactive,Liver
N#CCC(=O)NN,inactive,Liver
Oc1ccc(cc1)C(=O)OCc2ccccc2,agonist,Liver
O=C(NNC(C)C)c1ccncc1.O=S(=O)(O)O,inactive,Liver
CCCCCCCCCCCCC,inactive,Liver
O=C(Oc1c(cc(cc1[N+]([O-])=O)[N+]([O-])=O)C(C)CC)\C=C(/C)C,antagonist,Liver
OC(CO)c1ccccc1,inactive,Liver
NC1=NC(=O)N(C=N1)[C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O,inactive,Liver
Cl.CC(C)(O)CNc1ncc3c(n1)N(C)C(=O)C=C3Oc2ccc(F)cc2F,inactive,Liver
Clc2cc3NC(=O)N(C1CCN(CC1)C(=O)OCC)c3cc2,inactive,Liver
c1cc2cccc3CCc(c1)c23,agonist,Liver
OCCc1ccccn1,inactive,Liver
C\C(C)=C\CCC(/C)=C\C#N,inactive,Liver
[O-][N+](=O)c2ccc(Nc1ccccc1)cc2,antagonist,Liver
CC(C)n1nc(OP(=S)(OCC)OCC)nc1Cl,inactive,Liver
O=C(Cc2cccc1occc12)N(C)[C@H]3CC[C@]5(C[C@@H]3N4CCCC4)CCCO5,inactive,Liver
CCO[Si](OCC)(OCC)CCCSSSSCCC[Si](OCC)(OCC)OCC,inactive,Liver
Cl\C(=C/C3C(C(=O)OCc2cccc(c1ccccc1)c2C)C3(C)C)C(F)(F)F,inactive,Liver
C[C@@]1(O[C@@H]1C\C=C(\C)C)[C@H]3[C@H](OC)[C@H](OC(=O)\C=C\C=C\C=C\C=C\C(=O)O)CC[C@@]23CO2,inactive,Liver
CC(C)OC(=O)Nc1ccccc1,inactive,Liver
OC(C(=O)c1ccccc1)c2ccccc2,inactive,Liver
Cc4ccc1ccc2cccc3ccc4c1c23,inactive,Liver
O=C(C)OC1CCCCC1C(C)(C)CC,inactive,Liver
O=C(c1ccc(cc1O)OC)c2ccccc2O,agonist,Liver
Cl.O=C([C@H](C)N)c1ccccc1,agonist,Liver
Oc1cc(CCCCC)cc(O)c1,antagonist,Liver
OCCCSC[C@H](N)C(=O)O,inactive,Liver
N#C/C(=N\OC)C(=O)NC(=O)NCC,inactive,Liver
Cc1ccc(CCl)cc1,inactive,Liver
NCCNCCNCCNCCN,inactive,Liver
NCc1ccccc1,inactive,Liver
NC2CCC(CC1CCC(N)CC1)CC2,inactive,Liver
FC(Cl)C(F)(F)OC(F)F,inactive,Liver
O=C3c1ccccc1C(=O)c2c3ccc(O)c2O,inactive,Liver
Br.CCCN1C=CN(C)C1,inactive,Liver
O=C(O)Cc1cn(nc1c2ccc(Cl)cc2)c3ccccc3,inactive,Liver
FC(F)(F)c1ccc(Cl)cc1Cl,inactive,Liver
Cl.Oc1ccc(CCN)cc1O,inactive,Liver
[NH4+].O[C@]1(CC([O-])=O)O[C@H]([C@H](OC)[C@@H](OC)[C@@H]1C)[C@H](C)[C@H]2O[C@]3(C[C@H](O)[C@H]2C)CC[C@](C)(O3)[C@H]4CC[C@](C)(O4)[C@@H]6O[C@H](C[C@@H]6OC5C[C@H](OC)[C@@H](OC)[C@H](C)O5)[C@H]7O[C@](C)(O)[C@H](C)C[C@@H]7C,antagonist,Liver
Nc2ccc(Cl)cc2C(=O)c1ccccc1,inactive,Liver
Oc2ccc(OCc1ccccc1)cc2,agonist,Liver
Oc2ccc(C(=O)c1ccc(O)cc1)c(O)c2O,inactive,Liver
O=CC=Cc1ccccc1,inactive,Liver
O[Al](O)OC(C)=O,inactive,Liver
[Na+].O.O.Cc1ccc(cc1)S(=O)(=O)[N-]Cl,inactive,Liver
CCOC1=NC(=O)C(F)=CN1,inactive,Liver
BrC2CC(Cn1cncn1)(OC2)c3ccc(Cl)cc3Cl,antagonist,Liver
Oc1ccncc1,inactive,Liver
O=[N+]([O-])c1ccc(cc1)[N+]([O-])=O,antagonist,Liver
OC2CCCCC2c1ccccc1,inactive,Liver
O=C(O)[C@H](CC(C)C)NC(=O)OCC3c1ccccc1c2ccccc23,antagonist,Liver
COc1ccc(Cl)cc1C(=O)NCCc2ccc(cc2)S(N)(=O)=O,inactive,Liver
Clc1ccc(CSC(=O)N(CC)CC)cc1,inactive,Liver
Cl.O=S(C)(=O)Nc1ccc(cc1)C(O)CNC(C)C,inactive,Liver
NC(=O)C1=C(O)[C@@H](N(C)C)[C@@H]2C[C@@H]3Cc4cccc(O)c4C(=O)C3=C(O)[C@]2(O)C1=O,inactive,Liver
Cc1ccc2cc(C)ccc2c1,inactive,Liver
O=C(CCCCCCC/C=C\CCCCCCCC)OCCCC,inactive,Liver
CCOCCOC(=O)C(=C)C,inactive,Liver
Clc3ccccc3CN1CCc2sccc2C1,inactive,Liver
C=C(C)[C@@H]2Oc3ccc1C(=O)[C@H]4c5cc(OC)c(OC)cc5OC[C@H]4Oc1c3C2,antagonist,Liver
CC(=O)N[C@@H](CS)C(O)=O,inactive,Liver
Nc1ccc(N)cc1,antagonist,Liver
CC(CCc1ccccc1)CCO,inactive,Liver
Oc3cc4[C@@H]1[C@H](CCc2ccccc12)N(C)CCc4cc3Cl,inactive,Liver
O=C1C=CC(=O)N1c2ccc(cc2)Cc3ccc(cc3)N4C(=O)C=CC4=O,antagonist,Liver
[Li+].[Li+].[O-]S([O-])(=O)=O,inactive,Liver
O=[N+]([O-])c1cc(cc(C)c1O)[N+]([O-])=O,antagonist,Liver
Clc1ccc(CCCCC)cc1,inactive,Liver
S=P(OCC)(Oc1ccc(cc1)[N+]([O-])=O)c2ccccc2,inactive,Liver
N#CCC(=O)OCC,inactive,Liver
ClC2(Cl)C1(Cl)C(Cl)C(Cl)C2(Cl)C(=C)C1(CCl)CCl,antagonist,Liver
CC(C)(C)c1cc(cc(c1O)C(C)(C)C)[N+]([O-])=O,antagonist,Liver
O=C(O)C2=CN(CC)c1nc(C)ccc1C2=O,inactive,Liver
Oc2ccc(Cc1ccc(O)cc1)cc2,inactive,Liver
CC(=O)Oc2c(C)c(C)c1O[C@@](C)(CCc1c2C)CCC[C@H](C)CCC[C@H](C)CCCC(C)C,inactive,Liver
O[C@@H]8[C@@H](O)[C@H](O)[C@@H](CO)O[C@H]8OC(=O)[C@]7(C)CCC[C@@]5(C)[C@@H]7CC[C@]16CC(=C)[C@@H](C1)[C@H](O[C@@H]4O[C@H](CO)[C@@H](O)[C@H](O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@H]4OC3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)C[C@@H]56,inactive,Liver
Clc1ccc(cc1)Nc4nnc(Cc2ccncc2)c3ccccc34,antagonist,Liver
O=[N+]([O-])c1c(C)c(c(C)c(c1C(C)(C)C)[N+]([O-])=O)[N+]([O-])=O,inactive,Liver
CC=1CCCC(C)(C)C=1C=CC(C)=O,inactive,Liver
O=S(=O)(N(CC)CC)c1ccc(cc1)C(=O)O,inactive,Liver
Cc1ccc(cc1)C(=O)C,inactive,Liver
[Na+].[S-]c1ccccc1,agonist,Liver
O=C(c1ccc(Cl)cc1)c2ccc(O)cc2,inactive,Liver
Cl.COc1ccc(cc1OC)Cc3nccc2cc(OC)c(cc23)OC,antagonist,Liver
O=C1CCCN1CC(=O)N,inactive,Liver
ClN1C(=O)N(Cl)C(=O)N(Cl)C1=O,inactive,Liver
[Br-].CCCCCC[n+]1ccccc1,inactive,Liver
O=C(O)CCCCCCCCC=C,inactive,Liver
Clc1ccc(NC(=O)N(C)C)cc1Cl,inactive,Liver
Cl.NNc1ccc(cc1)C(=O)O,inactive,Liver
Cl.CCCCOc1ccc(cc1)C(=O)CCN2CCCCC2,antagonist,Liver
COc1ccc(CCO)cc1,inactive,Liver
Cl.c1cc(c2OCCOc2c1)N3CCNCC3,antagonist,Liver
Clc1cc(Cl)nc(Cl)n1,inactive,Liver
O=C3c4ccccc4N/C3=C2/Nc1ccccc1C2=O,inactive,Liver
O=C(C)Nc1cc(C)ccc1,inactive,Liver
ClCCCCCCO,inactive,Liver
Clc1cc(C(=O)O)c(Cl)c(N)c1,inactive,Liver
Cc1cc(Cl)ccc1,inactive,Liver
Cl.O=C(O)Cc1ccc2OCc3ccccc3C(=C\CCN(C)C)\c2c1,inactive,Liver
CC(C)CC(=O)OCC,inactive,Liver
Oc3ccc2C[C@@H]1c4c(CCN1C)cccc4c2c3O,antagonist,Liver
COCc1ccc(cc1)COC,inactive,Liver
CC(C)CCCCCCOC(=O)CCCCC(=O)OCCCCCCC(C)C,inactive,Liver
CC/C(=N\OC\C=C\Cl)C=1C(=O)CC(CC=1O)C2CCOCC2,inactive,Liver
Cc1ccc(cc1)S(=O)(N)=O,inactive,Liver
[Cl-].OC(c1ccccc1)(c2ccccc2)C(=O)O[C@@H]3C[C@@H]5CC[C@H](C3)[N+]45CCCC4,inactive,Liver
C[N+](C)(C)CCCCCC[N+](C)(C)C,inactive,Liver
COc1cc(ccc1OC)C=CC,inactive,Liver
CN(C)CCOc1ccc(cc1)/C(c2ccccc2)=C(/CC)c3ccccc3,antagonist,Liver
C[SiH](C)O[SiH](C)C,inactive,Liver
Oc1ccc2c(c1)OC(=O)C=C2C,agonist,Liver
Cc1cc[n+](CCCC)cc1.FC(F)(F)S([O-])(=O)=O,inactive,Liver
[Cl-].C[n+]1c3cc(N)ccc3cc2ccc(N)cc12.Nc1cc2nc3cc(N)ccc3cc2cc1,antagonist,Liver
CCCCCCCCCCCCCCC1CO1,inactive,Liver
CCCN(CCC)CCc1cccc2NC(=O)Cc12,inactive,Liver
CCCCCCCCCCC=O,inactive,Liver
Cl.OCC(O)COC(=O)c3ccccc3Nc1ccnc2cc(Cl)ccc12,antagonist,Liver
CC(C)Oc1ccc2c(c1)OC=C(C2=O)c3ccccc3,inactive,Liver
CP(=O)(OC(C)C)OC(C)C,agonist,Liver
CS(=O)(=O)O.CS(=O)(=O)O.CN(C)S(=O)(=O)c2cc3N(CCCN1CCN(C)CC1)c4ccccc4Sc3cc2,antagonist,Liver
CN(C)CCN1CCOCC1,inactive,Liver
CCCCCC(N)=O,inactive,Liver
CC(=O)S[C@@H]4CC1=CC(=O)CC[C@]1(C)[C@H]5CC[C@@]3(C)[C@@H](CC[C@]23CCC(=O)O2)[C@H]45,antagonist,Liver
[Br-].C[n+]1ccn(CCCCCC)c1,inactive,Liver
O=C(C2c1cc(F)c(Cl)cc1N(C(N)=O)C2=O)c3cc(Cl)cs3,antagonist,Liver
S=C1N(C=CN1C)C(=O)OCC,agonist,Liver
BrCCCl,inactive,Liver
[Cl-].O.COc1cc2c3cc4ccc(OC)c(OC)c4c[n+]3CCc2cc1OC,inactive,Liver
Cl.O=C3NCC1(CCN(CC1)CCc2ccccc2)O3,inactive,Liver
Cc2c(Nc1ccccc1C(=O)O)cccc2Cl,inactive,Liver
CCC(=O)O[C@@H]3[C@H](C[C@@H](C)O[C@H]3O[C@@H]2[C@@H](C)[C@H](O[C@H]1C[C@@](C)(OC)[C@@H](O)[C@H](C)O1)[C@@H](C)C(=O)O[C@H](CC)[C@@](C)(O)[C@H](O)[C@@H](C)C(=O)[C@H](C)C[C@@]2(C)O)N(C)C,inactive,Liver
Fc1cccc(c1)COc2ccc(cc2Cl)Nc3ncnc4ccc(cc34)c5ccc(CNCCS(C)(=O)=O)o5,antagonist,Liver
ClC(Cl)(Cl)SN2C(=O)C1CC=CCC1C2=O,antagonist,Liver
[O-]S(C)(=O)=O.FC(F)(F)c1cc(cc(c1)C(F)(F)F)C(=O)N(C)C[C@@H](CC[N+]23CCC(CC2)(CC3)C4CCCCC4)c5ccc(Cl)c(Cl)c5,antagonist,Liver
CCCN(CCC)C(=O)SCC,inactive,Liver
Fc1cc(cc(F)c1)NC(=O)N\N=C(/C)c2ncccc2C(=O)O,inactive,Liver
O=C(O)C(C)Oc1ccc(cc1)Oc2ncc(cc2Cl)C(F)(F)F,agonist,Liver
CC(C)(C)CC(C)(C)c1cc(c(O)cc1)n2nc3ccccc3n2,inactive,Liver
Nc1cccc(N)n1,inactive,Liver
c1cccc2Cc3ccccc3c12,inactive,Liver
CC(C)CC(C)CC(=O)CC(C)C,agonist,Liver
O=S(N)(=O)c2cc(cc(NCCCC)c2Oc1ccccc1)C(=O)O,agonist,Liver
CCCC[Sn](CCCC)(OC(=O)C(=C)C)CCCC,antagonist,Liver
O=C(OCC1CC2OC2CC1)C3CCC4OC4C3,inactive,Liver
C[C@@H](N)C(=O)O,inactive,Liver
O=C4CC[C@@H]3[C@]4(C)CC[C@H]1[C@H]3CC[C@H]2C[C@H](O)CC[C@]12C,antagonist,Liver
Cl.Cl.CC[C@@H](CO)NCCN[C@H](CO)CC,inactive,Liver
O.Cc1ccc(cc1)S(O)(=O)=O,inactive,Liver
CC(C)(c1ccc(O)cc1)c2ccc(O)cc2,agonist,Liver
CCC(N)(CO)CO,inactive,Liver
CC(CC(C)(C)C)CC(Cl)=O,inactive,Liver
Oc1ccc(cc1)c3sc2cc(O)ccc2c3C(=O)c5ccc(OCCN4CCCCC4)cc5,antagonist,Liver
Cl.CC[C@]3(O)C=4C=C5c6nc7ccc(OC(=O)N1CCC(CC1)N2CCCCC2)cc7c(CC)c6CN5C(=O)C=4COC3=O,agonist,Liver
Cl.FC(F)(F)c1cccc(C[C@@H](C)NCC)c1,inactive,Liver
CC(C)(Cl)[N+]([O-])=O,antagonist,Liver
O=C3C=C(C[C@H](/C=C/c1ccc2OCOc2c1)O3)OC,inactive,Liver
CC(=O)NCCc1cccc2ccc(OC)cc12,antagonist,Liver
CCC(CCCC)COCC1CO1,inactive,Liver
Oc1c(cc(Cl)cc1Cl)C(=O)O,inactive,Liver
N#CCCC(Br)(CBr)C#N,antagonist,Liver
O=S(=O)(Nc1nccs1)c3ccc(NC(=O)c2ccccc2C(=O)O)cc3,inactive,Liver
ClC(Cl)(Cl)C(Cl)=O,inactive,Liver
Cc1c(cc(cc1[N+](=O)[O-])[N+]([O-])=O)C(N)=O,agonist,Liver
OCCN1CCN=C1CCCCCCC/C=C\CCCCCCCC,antagonist,Liver
CCN(CCN)c1cc(C)ccc1,agonist,Liver
O=C3C=CC(=O)N3c1cccc(c1)N2C(=O)C=CC2=O,antagonist,Liver
[Br-].CC[N+](CC)(CC)CC,inactive,Liver
Cc1c(O)c(C)c(C)c2OC(C)(CCc12)COc4ccc(CC3SC(=O)NC3=O)cc4,agonist,Liver
[O-]S(=O)(=O)OC.C[N+]1(C)CC\C(CC1)=C(\c2ccccc2)c3ccccc3,inactive,Liver
Cc1cc(O)ccc1C,inactive,Liver
SCCc1cnccn1,inactive,Liver
ClC=1C(Cl)=C(Cl)C(Cl)(Cl)C=1Cl,agonist,Liver
Nc1ccc(CCCCCC)cc1,agonist,Liver
CN(O)C(=O)CCc2cc(c1ccc(Cl)cc1)n(n2)c3ccc(OC)cc3,antagonist,Liver
CC(=O)Oc1ccc(cc1)C(/c2ccc(OC(C)=O)cc2)=C3/CCCCC3,inactive,Liver
CN1CC2N(CC1)c4ccccc4Cc3ccccc23,agonist,Liver
Clc1cc(cc(Cl)c1C)C(=O)NC(C)(CC)C(=O)CCl,antagonist,Liver
CS(=O)(=O)Oc1cc2c(cc1)OC(OCC)C2(C)C,inactive,Liver
O=C(CCCCCCCCC=C)OCCCC,agonist,Liver
S=C(SSSSSSC(=S)N1CCCCC1)N2CCCCC2,antagonist,Liver
Cl.O=S(N)(=O)c1ccc(CN)cc1,inactive,Liver
OC(=O)c1snc(Cl)c1Cl,inactive,Liver
CCCCn1cc[n+](C)c1C.F[B-](F)(F)F,inactive,Liver
Clc2ncc(CN1CCS/C1=N\C#N)cc2,inactive,Liver
C\C(C)=C/C3C(C(=O)OCN2C(=O)C=1CCCCC=1C2=O)C3(C)C,agonist,Liver
OCCOCCOCCOCCOCCO,inactive,Liver
C=CCCl,inactive,Liver
C=C(C)C#N,inactive,Liver
C[C@H]=C(C)C=O,inactive,Liver
CC=O,antagonist,Liver
CC(C)c1cc2C(=O)c3cc(c(N)nc3Oc2cc1)C(=O)O,inactive,Liver
CCCO[Si](OCCC)(OCCC)OCCC,inactive,Liver
CCCCCCO,agonist,Liver
OCCOCCOCCOCC,inactive,Liver
Nc1ccc2ccccc2c1,inactive,Liver
c1cccc2sc(nc12)SSc3nc4ccccc4s3,inactive,Liver
O=C(O)C(C)c1cc2CC(=O)c3ccccc3Sc2cc1,inactive,Liver
O=C(c1ccc(Cl)cc1)c2ccc(Cl)cc2,agonist,Liver
C[n+]1ccn(CCC)c1.F[P-](F)(F)(F)(F)F,inactive,Liver
Cl.Clc1nc(C(=O)NC(=N)N)c(N)nc1N,inactive,Liver
Cl.CN(C\C=C\c1ccccc1)Cc3cccc2ccccc23,antagonist,Liver
Nc1ccc(Br)cc1,inactive,Liver
Nc1ccc(cc1)Oc2ccc(cc2)C(C)(C)c3ccc(cc3)Oc4ccc(N)cc4,antagonist,Liver
O=C1NC(=O)C(N1)(c2ccccc2)c3ccccc3,agonist,Liver
COc1cc(ccc1OC(=O)C(C)C)C=O,inactive,Liver
CC(C)CC(C)(C)C,antagonist,Liver
Fc2cc(ccc2c1ccccc1)C(C)C(=O)OC(C)OC(C)=O,inactive,Liver
Nc1ccc2cc3ccccc3cc2c1,inactive,Liver
OCC[NH+](CCO)CCO.[O-]C(=O)CCCCCCCCCCCCCCCCC,inactive,Liver
NS(=O)(=O)c1ccc(cc1)n3nc(cc3c2ccc(OC)c(F)c2)C(F)F,inactive,Liver
OC=1c4ccccc4OC(=O)C=1C(C2=C(O)c3ccccc3OC2=O)C(=O)OCC,antagonist,Liver
CN(C)c1nc(nc(n1)N(C)C)N(C)C,inactive,Liver
C[N+]1(CC)CCCC1.FC(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,inactive,Liver
C/C(C)=C\CCC(C)=CCCC(C)=O,inactive,Liver
CC(CC)N1N=CN(C1=O)c2ccc(cc2)N3CCN(CC3)c4ccc(cc4)OC[C@H]6CO[C@@](Cn5ncnc5)(O6)c7ccc(Cl)cc7Cl,antagonist,Liver
Nc1nc(nc(N)n1)c2ccccc2,inactive,Liver
Cc2oncc2C(=O)Nc1ccc(cc1)C(F)(F)F,agonist,Liver
Clc1ccc(NC(=O)OC)cc1Cl,inactive,Liver
Clc1ccc(cc1)c2ccccc2,inactive,Liver
CC(C)CC(C)N(c1ccccc1)c2ccc(N)cc2,antagonist,Liver
CC(=O)OCC(COC(C)=O)CCn2cnc1cnc(N)nc12,inactive,Liver
CC(C)(C)c1ccc(cc1)C(=O)CCCN2CCC(CC2)OC(c3ccccc3)c4ccccc4,antagonist,Liver
CC(C)Sc1ccc(cc1)C(O)C(C)NCCCCCCCC,antagonist,Liver
NC(=O)N(C)N=O,inactive,Liver
Cc1ccco1,inactive,Liver
CC(O)C1CCCCC1,inactive,Liver
CC(=O)c1cnccn1,agonist,Liver
Oc2ccc(/N=N/c1ccccc1)cc2,agonist,Liver
COc1cc(ccc1C(/C)=C/C(=O)O)OC,inactive,Liver
O=S(=O)(Nc1ccc(OCC)nn1)c2ccc(N)cc2,inactive,Liver
O=C(O)CCCCC1CCSS1,inactive,Liver
O=C(C)OC(C)(CC\C=C(\C)C)C=C,inactive,Liver
Cl.Cl.Nc1cccc(N)c1,inactive,Liver
NCCO,inactive,Liver
O=C(CC(=O)C(F)(F)F)c1ccccc1,inactive,Liver
CCCCCCCCCOCC1CO1,inactive,Liver
C[N+]1(CCC)CCCC1.F[P-](F)(F)(F)(F)F,inactive,Liver
Clc1cc(Cl)cc(Cl)c1O,inactive,Liver
Nc4ccc2c1ccccc1c3cccc4c23,agonist,Liver
CN2C(=O)CC[C@H]2c1cnccc1,antagonist,Liver
O[C@@H](C)C(=O)OCCCC,inactive,Liver
COc1cc(cc(OC)c1OC)C(=O)OCCCN3CCCN(CCCOC(=O)c2cc(OC)c(OC)c(OC)c2)CC3,agonist,Liver
CC1Nc2ccccc2OC1,inactive,Liver
Nc1cccc2CC(C)(C)Oc12,inactive,Liver
BrC(Br)(Br)CBr,inactive,Liver
CC(C)C(=O)c1c2ccccn2nc1C(C)C,inactive,Liver
O=C(N[C@@H]1CC[C@@H](CC1)C(=O)O)C4(C[C@@H](COCCOC)C(=O)Oc2cc3CCCc3cc2)CCCC4,inactive,Liver
Clc1cccc(Cl)c1Cl,inactive,Liver
Oc2cccc1c2CCCC1=O,agonist,Liver
O=C1NCCN1CCO,inactive,Liver
[Na+].[Na+].[O-]C(=O)C=4Oc3cccc(OCC(O)COc1cccc2OC(=CC(=O)c12)C([O-])=O)c3C(=O)C=4,inactive,Liver
CN(C)C(=O)[C@@H]1C[C@@H](O)CN1[C@]3(c2cc(Cl)ccc2N(C3=O)S(=O)(=O)c4ccc(OC)cc4OC)c5ccccc5OC,antagonist,Liver
CC1=CC(=O)NO1,inactive,Liver
NNC(C)c1ccccc1.O=S(=O)(O)O,inactive,Liver
OCC(=O)[C@@]4(OC(=O)CCC)CC[C@@H]2[C@]4(C)C[C@H](O)[C@@H]1[C@@]3(C)CCC(=O)C=C3CC[C@H]12,antagonist,Liver
CCCCOCCOCCOCCCC,inactive,Liver
O=[N+]([O-])c1ccc(cc1)C(N)=O,inactive,Liver
Oc1ccc(cc1)Sc2ccc(O)cc2,inactive,Liver
Oc1cccc2CC(C)(C)Oc12,inactive,Liver
CC(C)c1cccc(c1)C(C)C,inactive,Liver
[O-][N+](=O)O[Cd]O[N+]([O-])=O,antagonist,Liver
CC=1OCCS(=O)(=O)C=1C(=O)Nc2ccccc2,antagonist,Liver
COC(CC(C)CCCC(C)(C)O)OC,inactive,Liver
[Cl-].CC(C)(C)CC(C)(C)c2ccc(OCCOCC[N+](C)(C)Cc1ccccc1)cc2,antagonist,Liver
O=S(N)(=O)c1cc(c(OC)cc1)C(=O)OC,inactive,Liver
Cc1cccc2nccnc12,inactive,Liver
[Na+].[Na+].O=S([O-])(=O)c1cccc(c1)S([O-])(=O)=O,inactive,Liver
Clc1c(C(=O)OC)c(Cl)c(Cl)c(C(=O)OC)c1Cl,agonist,Liver
OP(=O)(O)Oc1ccccc1C(=O)O,inactive,Liver
O=Cc1c(Cl)cccc1Cl,inactive,Liver
BrCCCCC,inactive,Liver
O=C(O)C2=CN(CC)c1cc(c(F)cc1C2=O)N3CCNCC3,inactive,Liver
O=C(OCCOCCOCCOCCOCCOCCOCCOCCOCCOC)c1ccc(NCCCC)cc1,inactive,Liver
CCO[Si](OCC)(OCC)CC(C)C,agonist,Liver
Cc1cc(OP(=S)(OCC)OCC)nc(n1)C(C)C,agonist,Liver
O=C(O)c1ccc2C(=O)OC(=O)c2c1,inactive,Liver
Clc1cc(Cl)ccc1OCC(=O)OCC,inactive,Liver
O=C(c1cc(OC)c(OC)c(OC)c1)N2CCOCC2,inactive,Liver
N=C1NC(=N)c2ccccc12,antagonist,Liver
Brc2ccc(Oc1ccc(Br)cc1)cc2,inactive,Liver
O=C(OCc2cc(Cc1ccccc1)oc2)[C@@H]3[C@@H](/C=C(\C)C)C3(C)C,inactive,Liver
Clc1ccc(NC(=O)C(=C)C)cc1Cl,inactive,Liver
O=C(O)/C=C/C(=O)O,agonist,Liver
CCCC(O)C(O)CO,inactive,Liver
O=S1(=O)OCCO1,inactive,Liver
CC1CCC(CC1)C(O)(C)C,inactive,Liver
OCC(=O)[C@@]3(O)[C@@H](C)C[C@H]2[C@@H]4CCC1=CC(=O)C=C[C@]1(C)[C@H]4C(=O)C[C@@]23C,inactive,Liver
O=CC(\Cl)=C(\Cl)C(=O)O,agonist,Liver
O=C1C(CC(=O)N1C)c2ccccc2,inactive,Liver
Clc1ccc(cc1)C(c2ccc(Cl)cc2)C(Cl)(Cl)Cl,antagonist,Liver
Oc1ccc(CCCCCCCCC)cc1,agonist,Liver
Cc2cccc1cc(C)ccc12,inactive,Liver
O=P(O)(O)OC[C@H](N)C(=O)O,inactive,Liver
O=C(C)OCCOCCCC,inactive,Liver
CC(C)(C)c1ncc(OP(=S)(OCC)OC(C)C)cn1,inactive,Liver
OCCOCCOCCOCCOCCCC,inactive,Liver
ClP(=S)(OCC)OCC,inactive,Liver
CCC(=O)OC(=O)CC,inactive,Liver
[Br-].C[N+](C)(C)CCCCCCCCCCCCCCCC,antagonist,Liver
CCOc1ccc(cc1)NC(=O)CC(C)O,inactive,Liver
CC(=O)c1ccc2c3ccccc3Cc2c1,agonist,Liver
CCCCCCCCCl,inactive,Liver
O=C2CC(C)=NN2c1ccccc1,inactive,Liver
Oc1cccc(c1)c9c2CCc(n2)c(c3cccc(O)c3)c4ccc(n4)c(c5cccc(O)c5)c6C=Cc(n6)c(c7cccc(O)c7)c8ccc9n8,antagonist,Liver
CCN(CC)N=O,agonist,Liver
